ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1075849017::Attribute,1075849056::Physical Data Type,1075849062::Null Option
1075838981::318,AuditTriggeredEmployeeHistoryTimestamp,Column,AuditTriggeredEmployeeHistoryTimestamp,,datetime2,Null
1075838981::381,BirthDate,Column,BirthDate,,date,Not Null
1075838981::540,BirthDate,Column,BirthDate,,date,Not Null
1075838981::356,CategoryId,Column,CategoryId,,integer,Not Null
1075838981::489,CategoryId,Column,CategoryId,,integer,Not Null
1075838981::563,CategoryId,Column,CategoryId,,integer,Not Null
1075838981::357,CategoryName,Column,CategoryName,,nvarchar(15),Not Null
1075838981::552,CategoryName,Column,CategoryName,,nvarchar(15),Not Null
1075838981::567,CategoryName,Column,CategoryName,,nvarchar(15),Not Null
1075838981::551,CategoryObjectId,Column,CategoryObjectId,,integer,Not Null
1075838981::566,CategoryObjectId,Column,CategoryObjectId,,integer,Not Null
1075838981::638,CheckConstraintRuleName,Column,CheckConstraintRuleName,,varchar(20),Null
1075838981::651,CheckConstraintRuleName,Column,CheckConstraintRuleName,,varchar(20),Null
1075838981::639,CheckConstraintRuleNameDefinition,Column,CheckConstraintRuleNameDefinition,,varchar(20),Null
1075838981::652,CheckConstraintRuleNameDefinition,Column,CheckConstraintRuleNameDefinition,,varchar(20),Null
1075838981::731,ClassTime,Column,ClassTime,,nchar(5),Null
1075838981::630,ColumnName,Column,ColumnName,,varchar(20),Null
1075838981::644,ColumnName,Column,ColumnName,,varchar(20),Null
1075838981::366,CustomerAddress,Column,CustomerAddress,,nvarchar(60),Not Null
1075838981::592,CustomerAddress,Column,CustomerAddress,,nvarchar(60),Not Null
1075838981::367,CustomerCity,Column,CustomerCity,,nvarchar(15),Not Null
1075838981::593,CustomerCity,Column,CustomerCity,,nvarchar(15),Not Null
1075838981::363,CustomerCompanyName,Column,CustomerCompanyName,,nvarchar(40),Not Null
1075838981::589,CustomerCompanyName,Column,CustomerCompanyName,,nvarchar(40),Not Null
1075838981::364,CustomerContactName,Column,CustomerContactName,,nvarchar(50),Not Null
1075838981::590,CustomerContactName,Column,CustomerContactName,,nvarchar(50),Not Null
1075838981::365,CustomerContactTitle,Column,CustomerContactTitle,,nvarchar(5),Not Null
1075838981::591,CustomerContactTitle,Column,CustomerContactTitle,,nvarchar(5),Not Null
1075838981::370,CustomerCountry,Column,CustomerCountry,,nvarchar(15),Not Null
1075838981::596,CustomerCountry,Column,CustomerCountry,,nvarchar(15),Not Null
1075838981::372,CustomerFaxNumber,Column,CustomerFaxNumber,,nvarchar(24),Null
1075838981::598,CustomerFaxNumber,Column,CustomerFaxNumber,,nvarchar(24),Null
1075838981::362,CustomerId,Column,CustomerId,,integer,Not Null
1075838981::446,CustomerId,Column,CustomerId,,integer,Null
1075838981::607,CustomerId,Column,CustomerId,,integer,Null
1075838981::588,CustomerObjectId,Column,CustomerObjectId,,integer,Not Null
1075838981::371,CustomerPhoneNumber,Column,CustomerPhoneNumber,,nvarchar(24),Not Null
1075838981::597,CustomerPhoneNumber,Column,CustomerPhoneNumber,,nvarchar(24),Not Null
1075838981::369,CustomerPostalCode,Column,CustomerPostalCode,,nvarchar(10),Null
1075838981::595,CustomerPostalCode,Column,CustomerPostalCode,,nvarchar(10),Null
1075838981::368,CustomerRegion,Column,CustomerRegion,,nvarchar(15),Null
1075838981::594,CustomerRegion,Column,CustomerRegion,,nvarchar(15),Null
1075838981::634,DataType,Column,DataType,,varchar(20),Null
1075838981::647,DataType,Column,DataType,,varchar(20),Null
1075838981::656,Database_Name,Column,Database_Name,,varchar(20),Null
1075838981::460,DateAdded,Column,DateAdded,,datetime2(7),Null
1075838981::750,DateAdded,Column,DateAdded,,datetime2(7),Null
1075838981::879,DateAdded,Column,DateAdded,,datetime2(7),Null
1075838981::883,DateAdded,Column,DateAdded,,datetime2,Null
