ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742126::Name,1075850618::Owner
1075839215::109,dbo,Schema,IndividualMidtermModel,dbo,
1075839215::110,guest,Schema,IndividualMidtermModel,guest,
1075839215::111,INFORMATION_SCHEMA,Schema,IndividualMidtermModel,INFORMATION_SCHEMA,
1075839215::112,sys,Schema,IndividualMidtermModel,sys,
1075839215::113,db_owner,Schema,IndividualMidtermModel,db_owner,
1075839215::114,db_accessadmin,Schema,IndividualMidtermModel,db_accessadmin,
1075839215::115,db_securityadmin,Schema,IndividualMidtermModel,db_securityadmin,
1075839215::116,db_ddladmin,Schema,IndividualMidtermModel,db_ddladmin,
1075839215::117,db_backupoperator,Schema,IndividualMidtermModel,db_backupoperator,
1075839215::118,db_datareader,Schema,IndividualMidtermModel,db_datareader,
1075839215::119,db_datawriter,Schema,IndividualMidtermModel,db_datawriter,
1075839215::120,db_denydatareader,Schema,IndividualMidtermModel,db_denydatareader,
1075839215::121,db_denydatawriter,Schema,IndividualMidtermModel,db_denydatawriter,
1075839215::181,Audit,Schema,IndividualMidtermModel,Audit,dbo
1075839215::182,Example,Schema,IndividualMidtermModel,Example,dbo
1075839215::183,HumanResources,Schema,IndividualMidtermModel,HumanResources,dbo
1075839215::184,JsonOutput,Schema,IndividualMidtermModel,JsonOutput,dbo
1075839215::185,Production,Schema,IndividualMidtermModel,Production,dbo
1075839215::186,RelationalCalculii,Schema,IndividualMidtermModel,RelationalCalculii,dbo
1075839215::187,RelationalCrossJoin,Schema,IndividualMidtermModel,RelationalCrossJoin,dbo
1075839215::188,Sales,Schema,IndividualMidtermModel,Sales,dbo
1075839215::189,SystemVersioned,Schema,IndividualMidtermModel,SystemVersioned,dbo
1075839215::190,Temporal,Schema,IndividualMidtermModel,Temporal,dbo
1075839215::191,Triggered,Schema,IndividualMidtermModel,Triggered,dbo
1075839215::192,Udt,Schema,IndividualMidtermModel,Udt,dbo
1075839215::193,Utils,Schema,IndividualMidtermModel,Utils,dbo
1075839215::728,DbSecurity,Schema,IndividualMidtermModel,DbSecurity,dbo
1075839215::766,sdBlobDefinition,Schema,IndividualMidtermModel,sdBlobDefinition,dbo
1075839215::767,dBlob,Schema,IndividualMidtermModel,dBlob,dbo
1075839215::768,dDateTime,Schema,IndividualMidtermModel,dDateTime,dbo
1075839215::770,sdDateTime2,Schema,IndividualMidtermModel,sdDateTime2,dbo
1075839215::774,sdDatetime2Precision7,Schema,IndividualMidtermModel,sdDatetime2Precision7,dbo
1075839215::777,sdCurrencyNumber,Schema,IndividualMidtermModel,sdCurrencyNumber,dbo
1075839215::783,sdIntegerNumber,Schema,IndividualMidtermModel,sdIntegerNumber,dbo
1075839215::784,dNumber,Schema,IndividualMidtermModel,dNumber,dbo
1075839215::785,dString,Schema,IndividualMidtermModel,dString,dbo
1075839215::788,sdTinyintNumber,Schema,IndividualMidtermModel,sdTinyintNumber,dbo
1075839215::790,sdNameString,Schema,IndividualMidtermModel,sdNameString,dbo
1075839215::793,sdAddressString,Schema,IndividualMidtermModel,sdAddressString,dbo
1075839215::798,sdPhoneNumberString,Schema,IndividualMidtermModel,sdPhoneNumberString,dbo
1075839215::833,sdDateYYYYMMDD,Schema,IndividualMidtermModel,sdDateYYYYMMDD,dbo
1075839215::835,sdPercentageNumber,Schema,IndividualMidtermModel,sdPercentageNumber,dbo
1075839215::837,sdSmallintNumber,Schema,IndividualMidtermModel,sdSmallintNumber,dbo
1075839215::839,sdProductString,Schema,IndividualMidtermModel,sdProductString,dbo
1075839215::840,sdCategoryString,Schema,IndividualMidtermModel,sdCategoryString,dbo
1075839215::1051,sdPersonTitleString,Schema,IndividualMidtermModel,sdPersonTitleString,dbo
1075839215::1052,sdBusinessEntityNameString,Schema,IndividualMidtermModel,sdBusinessEntityNameString,dbo
1075839215::1053,sdCityStateCountryRegionString,Schema,IndividualMidtermModel,sdCityStateCountryRegionString,dbo
1075839215::1054,sdFlagCharString,Schema,IndividualMidtermModel,sdFlagCharString,dbo
1075839215::1056,sdIdentificationString,Schema,IndividualMidtermModel,sdIdentificationString,dbo
1075839215::1057,sdLongDescriptionString,Schema,IndividualMidtermModel,sdLongDescriptionString,dbo
1075839215::1058,sdObjectNameString,Schema,IndividualMidtermModel,sdObjectNameString,dbo
1075839215::1059,sdPersonNameString,Schema,IndividualMidtermModel,sdPersonNameString,dbo
1075839215::1060,sdPersonTitleString,Schema,IndividualMidtermModel,sdPersonTitleString,dbo
1075839215::1061,sdPostalCodeString,Schema,IndividualMidtermModel,sdPostalCodeString,dbo
1075839215::1062,sdShortDescriptionString,Schema,IndividualMidtermModel,sdShortDescriptionString,dbo
1075839215::1063,sdTimeString,Schema,IndividualMidtermModel,sdTimeString,dbo
1075839215::1064,sdYearString,Schema,IndividualMidtermModel,sdYearString,dbo
1075839215::1065,sdSequenceInteger,Schema,IndividualMidtermModel,sdSequenceInteger,dbo
1075839215::1066,sdSmallInt,Schema,IndividualMidtermModel,sdSmallInt,dbo
