ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742126::Name,1075848986::Value,1075849176::Physical Name
"1075839019::38","NULL",Default Value,"IndividualMidtermModel","NULL","NULL","NULL"
"1075839019::39","USER",Default Value,"IndividualMidtermModel","USER","USER","USER"
"1075839019::40","CURRENT_TIMESTAMP",Default Value,"IndividualMidtermModel","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP"
"1075839019::41","CURRENT_USER",Default Value,"IndividualMidtermModel","CURRENT_USER","CURRENT_USER","CURRENT_USER"
"1075839019::42","SESSION_USER",Default Value,"IndividualMidtermModel","SESSION_USER","SESSION_USER","SESSION_USER"
"1075839019::43","SYSTEM_USER",Default Value,"IndividualMidtermModel","SYSTEM_USER","SYSTEM_USER","SYSTEM_USER"
"1075839019::754","DF_UserAuthorization_ClassTime",Default Value,"IndividualMidtermModel","DF_UserAuthorization_ClassTime","'9:15'","DF_UserAuthorization_ClassTime"
"1075839019::755","DF_UserAuthorization_IndividualProjectName",Default Value,"IndividualMidtermModel","DF_UserAuthorization_IndividualProjectName","'CSCI381 Midterm Project'","DF_UserAuthorization_IndividualProjectName"
"1075839019::915","DF_UserAuthorization_GroupName",Default Value,"IndividualMidtermModel","DF_UserAuthorization_GroupName","'Group One'","DF_UserAuthorization_GroupName"
"1075839019::1007","DF_Template_Sysdatetime",Default Value,"IndividualMidtermModel","DF_Template_Sysdatetime","sysdatetime()","DF_Template_Sysdatetime"
"1075839019::1009","DF_Template_FlagNo",Default Value,"IndividualMidtermModel","DF_Template_FlagNo","'N'","DF_Template_FlagNo"
"1075839019::1010","DF_Template_FlagYes",Default Value,"IndividualMidtermModel","DF_Template_FlagYes","'Y'","DF_Template_FlagYes"
"1075839019::1011","DF_Template_FlagTrue",Default Value,"IndividualMidtermModel","DF_Template_FlagTrue","1","DF_Template_FlagTrue"
"1075839019::1012","DF_Template_FlagFalse",Default Value,"IndividualMidtermModel","DF_Template_FlagFalse","0","DF_Template_FlagFalse"
"1075839019::1013","DF_Template_InitializeWithZero",Default Value,"IndividualMidtermModel","DF_Template_InitializeWithZero","0","DF_Template_InitializeWithZero"
"1075839019::1014","DF_Template_InitializeWithOne",Default Value,"IndividualMidtermModel","DF_Template_InitializeWithOne","1","DF_Template_InitializeWithOne"
"1075839019::1016","DF_Template_InitializeWithUpdate",Default Value,"IndividualMidtermModel","DF_Template_InitializeWithUpdate","'U'","DF_Template_InitializeWithUpdate"
"1075839019::1019","DF_Template_SysStartTime",Default Value,"IndividualMidtermModel","DF_Template_SysStartTime","sysdatetime()","DF_Template_SysStartTime"
"1075839019::1020","DF_Template_SysEndTime",Default Value,"IndividualMidtermModel","DF_Template_SysEndTime","'99991231 23:59:59'","DF_Template_SysEndTime"
"1075839019::1361","DF_UserAuthorization_UserAuthorizationId",Default Value,"IndividualMidtermModel","DF_UserAuthorization_UserAuthorizationId","1","DF_UserAuthorization_UserAuthorizationId"
"1075839019::1433","DF_Template_Quantity",Default Value,"IndividualMidtermModel","DF_Template_Quantity","1","DF_Template_Quantity"
"1075839019::1449","DF_Template_Sysdate",Default Value,"IndividualMidtermModel","DF_Template_Sysdate","CONVERT(date,sysdatetime())","DF_Template_Sysdate"
