ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1075850212::Constraint Name,1073742126::Name,1075849176::Physical Name,1075848986::Value  [read only]
1075839170::332,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.AuditTriggeredEmployeeHistoryTimestamp,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::334,DF_Template_InitializeWithUpdate,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TriggerOption,#NAME?,DF_Template_InitializeWithUpdate,DF_Template_InitializeWithUpdate,'U'
1075839170::338,DF__AuditTrig__Trans__66603565,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TransactionNumber,,DF__AuditTrig__Trans__66603565,DF__AuditTrig__Trans__66603565,1
1075839170::342,DF_Template_SysStartTime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.SysStart,,DF_Template_SysStartTime,DF_Template_SysStartTime,sysdatetime()
1075839170::344,DF_Template_SysEndTime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.SysEnd,,DF_Template_SysEndTime,DF_Template_SysEndTime,'99991231 23:59:59'
1075839170::346,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TimestampRowChanged,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::403,DF_Template_SysStartTime,Default Constraint Usage,IndividualMidtermModel.Employee.SysStart,,DF_Template_SysStartTime,DF_Template_SysStartTime,sysdatetime()
1075839170::423,DF_Template_InitializeWithOne,Default Constraint Usage,IndividualMidtermModel.Employee.TransactionNumber,,DF_Template_InitializeWithOne,DF_Template_InitializeWithOne,1
1075839170::431,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.Employee.TimestampRowChanged,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::473,DF_Template_InitializeWithZero,Default Constraint Usage,IndividualMidtermModel.OrderDetail.UnitPrice,,DF_Template_InitializeWithZero,DF_Template_InitializeWithZero,0
1075839170::477,DF_Template_Quantity,Default Constraint Usage,IndividualMidtermModel.OrderDetail.Quantity,,DF_Template_Quantity,DF_Template_Quantity,1
1075839170::481,DF_Template_InitializeWithZero,Default Constraint Usage,IndividualMidtermModel.OrderDetail.DiscountPercentage,,DF_Template_InitializeWithZero,DF_Template_InitializeWithZero,0
1075839170::497,DF_Template_FlagFalse,Default Constraint Usage,IndividualMidtermModel.Product.Discontinued,,DF_Template_FlagFalse,DF_Template_FlagFalse,0
1075839170::753,DF_UserAuthorization_ClassTime_1685274210,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.ClassTime,,DF_UserAuthorization_ClassTime_1685274210,DF_UserAuthorization_ClassTime_1685274210,'9:15'
1075839170::1021,Default_Constraint_Usage_1021,Default Constraint Usage,IndividualMidtermModel.FreightPriceNumber,,Default_Constraint_Usage_1021,Default_Constraint_Usage_1021,0
1075839170::1022,Default_Constraint_Usage_1022,Default Constraint Usage,IndividualMidtermModel.UnitPriceNumber,,Default_Constraint_Usage_1022,Default_Constraint_Usage_1022,0
1075839170::1023,Default_Constraint_Usage_1023,Default Constraint Usage,IndividualMidtermModel.SysEndTime,,Default_Constraint_Usage_1023,Default_Constraint_Usage_1023,'99991231 23:59:59'
1075839170::1024,Default_Constraint_Usage_1024,Default Constraint Usage,IndividualMidtermModel.SysStartTime,,Default_Constraint_Usage_1024,DF_Template_SysStartTime,sysdatetime()
1075839170::1025,Default_Constraint_Usage_1025,Default Constraint Usage,IndividualMidtermModel.DateAdded,,Default_Constraint_Usage_1025,Default_Constraint_Usage_1025,sysdatetime()
1075839170::1027,Default_Constraint_Usage_1027,Default Constraint Usage,IndividualMidtermModel.TimeStampNow,,Default_Constraint_Usage_1027,Default_Constraint_Usage_1027,sysdatetime()
